REF,AAA-System,AAAAlloys,AAAAAAProcessing Condition,PHASE,Phase,H    ev/atom,Hf  kJ/mol,Hmix,Smix/R,Delta,HV,Modulus (GPa),yield(MPa),compressive stregth,Ε(%),Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Ga,Gd,Ge,Hf,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Pr,Rh,Ru,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,W,Y,Yb,Zn,Zr
5,Al-Co-Cr-Cu-Fe-Ni,AlCo1.5CrCu0.5FeNi,AC,SS+IM,FCC+B2,-0.266,-25.67,-7.8333,-1.748155457,5.334851855,,,,,,0,0.166666667,0,0,0,0,,,0.25,0.166666667,0.083333333,0,,0.166666667,,0,0,0,,0,0,0,0,0,0,0,0.166666667,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,Al0.5CoCrCu0.5FeNi,AC,SS,2FCC,-0.186,-17.95,-4.6,-1.748067349,4.369756125,,,,,,0,0.1,0,0,0,0,,,0.2,0.2,0.1,0,,0.2,,0,0,0,,0,0,0,0,0,0,0,0.2,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCo0.5CrCu0.5FeNi,AC,SS,FCC+BCC,-0.288,-27.79,-7.92,-1.748067349,5.707038168,,,,,,0,0.2,0,0,0,0,,,0.1,0.2,0.1,0,,0.2,,0,0,0,,0,0,0,0,0,0,0,0.2,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCr0.5Cu0.5FeNi,AC,SS+IM,BCC+FCC+B2,-0.309,-29.81,-8.32,-1.748067349,5.698397397,,,,,,0,0.2,0,0,0,0,,,0.2,0.1,0.1,0,,0.2,,0,0,0,,0,0,0,0,0,0,0,0.2,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCu0.5Fe0.5Ni,AC,SS,BCC+FCC,-0.305,-29.43,-8.92,-1.748067349,5.65906665,,,,,,0,0.2,0,0,0,0,,,0.2,0.2,0.1,0,,0.1,,0,0,0,,0,0,0,0,0,0,0,0.2,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCu0.5Fe0.5Ni,AC,SS+IM,FCC+B2,-0.305,-29.43,-8.92,-1.748067349,5.65906665,,,,,,0,0.2,0,0,0,0,,,0.2,0.2,0.1,0,,0.1,,0,0,0,,0,0,0,0,0,0,0,0.2,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCu0.5FeNi0.5,AC,SS,FCC+BCC,-0.281,-27.11,-4.96,-1.748067349,5.775010908,,,,,,0,0.2,0,0,0,0,,,0.2,0.2,0.1,0,,0.2,,0,0,0,,0,0,0,0,0.1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,Al2CoCrCu0.5FeNi,AC,IM,B2,-0.395,-38.11,-11.5976,-1.711845135,6.457601873,,,,,,0,0.307692308,0,0,0,0,,,0.153846154,0.153846154,0.076923077,0,,0.153846154,,0,0,0,,0,0,0,0,0,0,0,0.153846154,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCo2CrCu0.5FeNi,AC,SS,BCC+FCC,-0.248,-23.93,-7.6686,-1.711845135,5.171583546,,,,,,0,0.153846154,0,0,0,0,,,0.307692308,0.153846154,0.076923077,0,,0.153846154,,0,0,0,,0,0,0,0,0,0,0,0.153846154,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCr2Cu0.5FeNi,AC,SS+IM,FCC+B2,-0.238,-22.96,-7.1953,-1.711845135,5.18307184,,,,,,0,0.153846154,0,0,0,0,,,0.153846154,0.307692308,0.076923077,0,,0.153846154,,0,0,0,,0,0,0,0,0,0,0,0.153846154,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCu0.5Fe2Ni,AC,SS+IM,FCC+B2,-0.238,-22.96,-6.4852,-1.711845135,5.234984675,,,,,,0,0.153846154,0,0,0,0,,,0.153846154,0.153846154,0.076923077,0,,0.307692308,,0,0,0,,0,0,0,0,0,0,0,0.153846154,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCu0.5FeNi2.0,AC,SS,BCC+FCC,-0.265,-25.57,-8.426,-1.711845135,5.201427004,,,,,,0,0.153846154,0,0,0,0,,,0.153846154,0.153846154,0.076923077,0,,0.153846154,,0,0,0,,0,0,0,0,0,0,0,0.307692308,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCu0.5FeNi2.5,AC,SS+IM,BCC+L12,-0.258,-24.89,-8.449,-1.668173972,5.061308101,,,,,,0,0.142857143,0,0,0,0,,,0.142857143,0.142857143,0.071428571,0,,0.142857143,,0,0,0,,0,0,0,0,0,0,0,0.357142857,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCo3.0CrCu0.5FeNi,AC,SS,BCC+FCC,-0.216,-20.84,-7.2533,-1.621667917,4.882848101,,,,,,0,0.133333333,0,0,0,0,,,0.4,0.133333333,0.066666667,0,,0.133333333,,0,0,0,,0,0,0,0,0,0,0,0.133333333,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCu0.5FeNi3.0,AC,IM,L12,-0.251,-24.22,-8.3911,-1.621667917,4.930675354,,,,,,0,0.133333333,0,0,0,0,,,0.133333333,0.133333333,0.066666667,0,,0.133333333,,0,0,0,,0,0,0,0,0,0,0,0.4,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe,AlCoCrCu0.5Fe,AC,SS+IM,FCC+B2,-0.273,-26.34,-6.1235,-1.58109375,5.86579626,,,,,,0,0.222222222,0,0,0,0,,,0.222222222,0.222222222,0.111111111,0,,0.222222222,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cu-Fe-Ni,AlCoCu0.5FeNi,AC,SS,BCC+FCC,-0.343,-33.09,-8.6914,-1.58109375,5.898554807,,,,,,0,0.222222222,0,0,0,0,,,0.222222222,0,0.111111111,0,,0.222222222,,0,0,0,,0,0,0,0,0,0,0,0.222222222,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Cr-Cu-Fe-Ni,AlCrCu0.5FeNi,AC,SS+IM,BCC+B2,-0.297,-28.66,-7.7037,-1.58109375,5.918952015,,,,,,0,0.222222222,0,0,0,0,,,0,0.222222222,0.111111111,0,,0.222222222,,0,0,0,,0,0,0,0,0,0,0,0.222222222,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Co-Cr-Cu-Fe-Ni,CoCrCu0.5FeNi,AC,SS,2FCC,-0.047,-4.53,0.4938,-1.58109375,0.835312488,,,,,,0,0,0,0,0,0,,,0.222222222,0.222222222,0.111111111,0,,0.222222222,,0,0,0,,0,0,0,0,0,0,0,0.222222222,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCo3.5CrCu0.5FeNi,AC,SS,FCC,-0.203,-19.59,-7.0313,-1.574679442,4.754628806,,,,,,0,0.125,0,0,0,0,,,0.4375,0.125,0.0625,0,,0.125,,0,0,0,,0,0,0,0,0,0,0,0.125,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
7,Al-Co-Cr-Cu-Fe-Mn-Ni,AlCoCrCuFeMnNi,AC,SS+IM,FCC+BCC+IM,-0.222,-21.42,-5.6327,-1.945910149,5.182612848,,,1005,1480,15,0,0.142857143,0,0,0,0,,,0.142857143,0.142857143,0.142857143,0,,0.142857143,,0,0,0,,0,0,0,0.142857143,0,0,0,0.142857143,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
7,Al-Co-Cr-Cu-Fe-Ni-Ti,AlCoCrCuFeNiTi,AC,SS+IM,BCC+FCC+B2,-0.382,-36.86,-13.7959,-1.945910149,6.777886208,,,1234,1356,9,0,0.142857143,0,0,0,0,,,0.142857143,0.142857143,0.142857143,0,,0.142857143,,0,0,0,,0,0,0,0,0,0,0,0.142857143,0,,0,0,0,0,0,0,,0,0,0.142857143,0,0,0,0,,0,0
7,Al-Co-Cr-Cu-Fe-Ni-V,AlCoCrCuFeNiV,AC,SS,BCC+FCC,-0.279,-26.92,-7.7551,-1.945910149,4.954076535,,,1469,1970,16,0,0.142857143,0,0,0,0,,,0.142857143,0.142857143,0.142857143,0,,0.142857143,,0,0,0,,0,0,0,0,0,0,0,0.142857143,0,,0,0,0,0,0,0,,0,0,0,0,0.142857143,0,0,,0,0
7,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCuFeNI,AC,SS,BCC+FCC,-0.538,-51.91,-4.7778,-1.791759469,5.281130599,,,1303,2081,24,0,0.166666667,0,0,0,0,,,0.166666667,0.166666667,0.166666667,0,,0.166666667,,0,0,0,,0,0,0,0,0,0,0,0.166666667,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
8,Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-V,Al11.1(CoCrCuFeMnNiTiV)88.9,AC,SS,BCC+FCC,-0.362,-34.93,-12.7407,-2.197224577,6.034157014,,164.087,1862,2431,0.95,0,0.111111111,0,0,0,0,,,0.111111111,0.111111111,0.111111111,0,,0.111111111,,0,0,0,,0,0,0,0.111111111,0,0,0,0.111111111,0,,0,0,0,0,0,0,,0,0,0.111111111,0,0.111111111,0,0,,0,0
8,Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-V,Al20(CoCrCuFeMnNiTiV)80,AC,SS,BCC,-0.429,-41.39,-15.44,-2.163955657,6.271562741,,190.086,1465,2016,2.35,0,0.2,0,0,0,0,,,0.1,0.1,0.1,0,,0.1,,0,0,0,,0,0,0,0.1,0,0,0,0.1,0,,0,0,0,0,0,0,,0,0,0.1,0,0.1,0,0,,0,0
8,Co-Cr-Cu-Fe-Mn-Ni-Ti-V,CoCrCuFeMnNiTiV,AC,SS+IM+AM,2BCC+FCC+��+AM,-0.243,-23.45,-8.125,-2.079441542,5.502282822,,74.247,1312,1312,0,0,0,0,0,0,0,,,0.125,0.125,0.125,0,,0.125,,0,0,0,,0,0,0,0.125,0,0,0,0.125,0,,0,0,0,0,0,0,,0,0,0.125,0,0.125,0,0,,0,0
8,Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-V,Al40(CoCrCuFeMnNiTiV)60,AC,SS+IM,BCC+D022+IM,-0.427,-41.2,-18.285,-1.920676592,6.319607017,,163.208,1461,1461,0,0,0.4,0,0,0,0,,,0.075,0.075,0.075,0,,0.075,,0,0,0,,0,0,0,0.075,0,0,0,0.075,0,,0,0,0,0,0,0,,0,0,0.075,0,0.075,0,0,,0,0
9,Al-Co-Cr-Cu-Fe-Mo-Ni,AlCoCrCuFeMoNi,AC,SS+IM,BCC+��,-0.221,-21.32,-3.5102,-1.945910149,5.30871803,,,1750,2600,1.1,0,0.142857143,0,0,0,0,,,0.142857143,0.142857143,0.142857143,0,,0.142857143,,0,0,0,,0,0,0,0,0.142857143,0,0,0.142857143,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
