Alloy composition (at.\%) [ref.],Tg (K),Tx (K),Tl (K),Dmax (mm),Trg,1Tx,2,3m,4Trg,5,6,7,8,9I,1/10
[(Fe0.6Co0.4)0.75B0.2Si0.05]96Nb4 [24],825,875,1407,4,0.58635,50,0.39203,0.65743,0.08591,1.5034,0.3927,0.62189,1.647,2.5506,4.9114
[(Fe0.5Co0.5)0.75B0.2Si0.05]96Nb4 [24],820,870,1397,5,0.58697,50,0.39242,0.65855,0.08666,1.5078,0.39345,0.62276,1.6479,2.5687,4.9312
Fe48Cr15Mo14C15B6Y2 [24],839,886,1464,7,0.57309,47,0.38472,0.6373,0.0752,1.4176,0.37952,0.60519,1.6291,2.2251,4.5801
Fe45Co3Cr15Mo14C15B6Y2 [24],834,880,1446,8,0.57676,46,0.38596,0.64039,0.07516,1.4379,0.38111,0.60858,1.6319,2.291,4.6265
Fe43Co5Cr15Mo14C15B6Y2 [24],835,872,1442,9,0.57906,37,0.38296,0.63037,0.06096,1.4366,0.37083,0.60472,1.6234,2.2411,4.4613
Fe39Co9Cr15Mo14C15B6Y2 [24],838,888,1466,10,0.57162,50,0.38542,0.63984,0.07962,1.414,0.38198,0.60573,1.6313,2.2274,4.624
Fe41Co7Cr15Mo14C15B6Y2 [24],838,875,1436,16,0.58357,37,0.38478,0.6351,0.06187,1.4632,0.37352,0.60933,1.6277,2.3298,4.5313
Fe61B15Mo7Zr8Co7Y2 [24],904.6,916.4,1490,5,0.60711,11.8,0.38269,0.62295,0.02016,1.5654,0.32642,0.61503,1.6202,2.5196,4.318
Fe61B15Mo7Zr8Co6Y2Al1 [24],899.5,955.6,1495,5,0.60167,56.1,0.39908,0.67672,0.09421,1.6047,0.40461,0.6392,1.664,2.9543,5.2635
Fe61B15Mo7Zr8Co5Y2Cr2 [24],901.1,958.9,1490,5,0.60477,57.8,0.40103,0.68235,0.09815,1.6283,0.40833,0.64356,1.6689,3.0633,5.376
Fe56Mn5Cr7Mo12Er2C12B6 [24],793,832,1401,8,0.56602,39,0.37922,0.6217,0.06414,1.3684,0.36793,0.59386,1.6152,2.0378,4.3432
Fe63C15Mo14Er2B6 [24],771,830,1389,3,0.55508,59,0.38426,0.64003,0.09547,1.343,0.38436,0.59755,1.6316,2.0479,4.6506
Fe58Cr5Mo14Er2C15B6 [24],793,829,1416,6,0.56003,36,0.37528,0.61088,0.05778,1.3307,0.35989,0.58545,1.6054,1.9079,4.1911
Fe48Cr15Mo14Er2C15B6 [24],844,880,1446,8,0.58368,36,0.38428,0.63347,0.0598,1.4618,0.37176,0.60858,1.6263,2.3184,4.5051
Fe68.3C6.9Si2.5B6.7P8.8Cr2.2Mo2.5Al2.1 [24],795,835,1316,4,0.6041,40,0.39555,0.66489,0.07678,1.6027,0.39396,0.6345,1.6544,2.8692,5.0277
Fe72Nb4B20Si4 [24],842,880,1420,2,0.59296,38,0.38904,0.64648,0.06574,1.5225,0.38073,0.61972,1.6381,2.541,4.7093
(Fe72Nb4B20Si4)99Y1 [24],855,881,1419,2,0.60254,26,0.38742,0.63918,0.0461,1.5621,0.36564,0.62086,1.6329,2.6024,4.5765
(Fe72Nb4B20Si4)98Y2 [24],855,903,1416,2,0.60381,48,0.39762,0.67161,0.08556,1.6096,0.39999,0.63771,1.66,2.9337,5.1581
(Fe72Nb4B20Si4)97Y3 [24],859,915,1416,4,0.60664,56,0.4022,0.68573,0.10054,1.6427,0.41054,0.64619,1.6718,3.1314,5.4456
(Fe72Nb4B20Si4)96Y4 [24],905,933,1424,3,0.63553,28,0.4006,0.67486,0.05395,1.7977,0.38662,0.6552,1.6665,3.5024,5.1859
Fe74Nb6Y3B17 [24],831,879,1391,2,0.59741,48,0.39559,0.66643,0.08571,1.5696,0.39736,0.63192,1.6552,2.7864,5.0654
{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}100 [6],826,870,1452,4,0.5689,44,0.3819,0.6295,0.0703,1.3898,0.374,0.5992,1.6221,2.1216,4.4598
{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}99Cr1 [6],827,871,1462,4,0.5657,44,0.3805,0.6259,0.0693,1.3717,0.3719,0.5958,1.6189,2.0623,4.4073
{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}98Cr2 [6],830,873,1469,4,0.565,43,0.3797,0.6236,0.0673,1.3662,0.37,0.5943,1.6168,2.0399,4.3727
{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}97Cr3 [6],831,874,1474,3.5,0.5638,43,0.3792,0.6221,0.0669,1.3593,0.3691,0.5929,1.6155,2.0175,4.3524
{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}96Cr4 [6],833,874,1481,3,0.5625,41,0.3777,0.6178,0.0633,1.3488,0.3657,0.5901,1.6117,1.976,4.2896
Fe76Si9B10P5 [38],780,832,1258,2.5,0.62,52,0.4082,0.7027,0.1088,1.7402,0.4209,0.6613,1.6866,3.5743,5.8112
Fe27Co40Zr3Ti3Mo1.5Si1.5B24 [39],811,856,1379,1.5,0.5881,45,0.3909,0.6534,0.0792,1.507,0.3889,0.6207,1.6436,2.538,4.8358
(Fe81.5Si3.8C14Tm0.7)92.37P7.63 [39],687,752,1284,1,0.5351,65,0.3815,0.6363,0.1089,1.2596,0.3819,0.5857,1.6297,1.8254,4.6199
(Fe81.5Si3.8C14Tm0.7)90.9P9.1 [39],717,767,1318,1,0.544,50,0.3769,0.6199,0.0832,1.2762,0.3717,0.5819,1.6137,1.8114,4.3451
Fe65.5Cr4Mo4Ga4P12C5B5.5 [39],745,806,1322,3,0.5635,61,0.3899,0.6558,0.1057,1.3969,0.394,0.6097,1.6454,2.2552,4.9148
